X,Modes,Dimension1,Dimension2,Dimension3,Distribution,Densities,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,O,H2O,P2O5,ZrO2,CO2,SO3,Li2O,ThO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,Y2O3,F,Sb2O3,CuO,Au2O,Ag2O,As2O3,SnO2,Sc2O3,UO2,V2O5,WO3,ZnO,SrO,BeO,PbO,Rb2O,Cs2O,Nb2O5,B2O3
Chalcopyrite,0,0,0,0,h,4.19,0,0,0,0,0,23.06331687,0,0,0,0,0,0,0,0,0,0,51.40133813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.535345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorite,0,0.3,0.3,0.03,h,2.78,29.8874,0,16.906,0,0,17.8686,0,23.3898,0,0,0,0,11.9483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromite,0,0,0,0,h,5.12,0,0,0,67.9029,0,32.0971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbite,0,1.007,1.007,1.007,h,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper,0,0,0,0,h,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordierite,0,0.1,0.05,0.05,h,2.64,48.7307,0,33.0778,0,0,11.6537,0,6.5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corundum,0,0,0,0,h,4.05,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covellite,0,0,0,0,h,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1613358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8386642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpx,0,0,0,0,h,3.31,54.3059,0,0,0,0,6.4935,0,16.3927,22.8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuprite,0,0,0,0,h,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond,0,0,0,0,h,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diopside,0,0,0,0,h,3.4,55.49,0,0,0,0,0,0,18.61,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolomite,0,0,0,0,h,2.84,0,0,0,0,0,0,0,21.86,30.41,0,0,0,0,0,0,47.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorite,0,0,0,0,h,3.13,0,0,0,0,0,0,0,0,71.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galena,0,0,0,0,h,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.39978896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.60021104,0,0,0,0
Garnet,0,0.01,0.01,0.01,h,4.06,38.6637,0,21.8704,0,0,30.8208,0,8.6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
